seq_no|Company|Supplier Invoice Document|Invoice Date|Invoice Line Amount|Invoice Created Date|Purchase Orders|Purchase Order Line|Item|Unit of Measure|Distribution Quantity|Line Description|Unit Cost|Supplier|Supplier ID|Ledger Account|Spend Category|Cost Center|Cost Center ID|Payment Status|Payment Date|FY25?|Check Number|Freight Amount|Other Charges|Invoice Status|Supplier Invoice Line Distribution|Invoice Total Amount|Derived Invoice Line Amount|CCHS_Description|UMass_Description 
14873834|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417342|10/1/2024|14.82|10/1/2024|PO-180728|PO-180728 - Line 1||Each|3.0|"[ Catalog: ORT19400RL ] SPLINT,WRIST,8"",RT,LG,EA"|4.94|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 4252 Family Medicine Clinic|CC100104252|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417342  - 14.82|87.26|14.82|SPLINT WRIST & THUMB LG RT|"[ Catalog: ORT19400RL ] SPLINT,WRIST,8"",RT,LG,EA"
14873838|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417345|10/1/2024|132.56|10/1/2024|PO-183294||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417345  - 132.56|132.56|132.56|Freight|freight
14873884|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417373|10/1/2024|113.4|10/1/2024|PO-183332||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 0124 CNO|CC100200124|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417373  - 113.4|345.74|113.4|Freight|freight
14873897|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417382|10/1/2024|23.01|10/1/2024|PO-183718||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417382  - 23.01|23.01|23.01|Freight|freight
14873940|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417397|10/1/2024|86.02|10/1/2024|PO-179220|PO-179220 - Line 1|ITM-432332 - CURETTE DERMAL DISPOSABLE 5MM|Box|1.0|ITM-432332 - CURETTE DERMAL DISPOSABLE 5MM|86.02|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 4094 Dermatology|CC100104094|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417397 - ITM-432332 - CURETTE DERMAL DISPOSABLE 5MM - 86.02|86.02|86.02|DISPOSABLE DERMAL CURETTE 4MM|ITM-432332 - CURETTE DERMAL DISPOSABLE 5MM
14873945|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417400|10/1/2024|20.74|10/1/2024|PO-183304||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417400  - 20.74|20.74|20.74|Freight|freight
14873948|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417403|10/1/2024|40.99|10/1/2024|PO-179927||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 2341 Emergency Room Pediatrics|CC100202341|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417403  - 40.99|295.24|40.99|Freight|freight
14873964|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417408|10/1/2024|18.03|10/1/2024|PO-176581||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417408  - 18.03|18.03|18.03|Freight|freight
14873975|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417416|10/1/2024|113.4|10/1/2024|PO-183249||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 0124 CNO|CC100200124|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417416  - 113.4|345.74|113.4|Freight|freight
14873991|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417425|10/1/2024|17.17|10/1/2024|PO-182549||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 2182 Surg Day Care Hahnemann|CC100102182|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417425  - 17.17|84.05|17.17|Freight|freight
14874000|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-417435|10/1/2024|17.26|10/1/2024|PO-182943||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-417435  - 17.26|17.26|17.26|Freight|freight
14876713|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-418974|10/2/2024|17.59|10/2/2024|PO-183859|PO-183859 - Line 1|ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE|Case|1.0|ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE|17.59|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|25080 - 3692 Radiation Oncology|CC250803692|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-418974 - ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE - 17.59|17.59|17.59|PAD,PREP,ALCOHOL,LARGE,2-PLY,STERILE|ITM-422705 - PAD PREP ALCOHOL 2 PLY STERILE LARGE
14876764|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419010|10/2/2024|19.17|10/2/2024|PO-183777||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25081 - 3900 Occupational Therapy|CC250813900|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419010  - 19.17|152.54|19.17|Freight|freight
14876832|C210 Marlborough Hospital|Supplier Invoice: SINV-419049|10/2/2024|15.01|10/2/2024|PO-181612||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2110 Operating Room|CC210002110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419049  - 15.01|485.09|15.01|Freight|freight
14876834|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419051|10/2/2024|33.7|10/2/2024|PO-175513||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25082 - 3110 Lab Administration|CC250823110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419051  - 33.7|322.62|33.7|Freight|freight
14876851|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419067|10/2/2024|12.17|10/2/2024|PO-178686||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25082 - 2340 Emergency Room|CC250822340|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419067  - 12.17|63.17|12.17|Freight|freight
14876881|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419089|10/2/2024|98.85|10/2/2024|PO-183579|PO-183579 - Line 2|ITM-418378 - DRESSING ANTIMICROBIAL FOAM AG 4INX4IN MEPILEX|Box|3.0|ITM-418378 - DRESSING ANTIMICROBIAL FOAM AG 4INX4IN MEPILEX|32.95|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 4260 Barre Health Center|CC100104260|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419089 - ITM-418378 - DRESSING ANTIMICROBIAL FOAM AG 4INX4IN MEPILEX - 98.85|221.05|98.85|DRESSING, MEPILEX BORDER AG POST OP ANTIMICROBIAL 4INX14IN|ITM-418378 - DRESSING ANTIMICROBIAL FOAM AG 4INX4IN MEPILEX
14876887|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419092|10/2/2024|20.68|10/2/2024|PO-182772||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419092  - 20.68|20.68|20.68|Freight|freight
14876919|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419116|10/2/2024|29.08|10/2/2024|PO-183208||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 4120 Plastic Cosmetic Clinic Hahn|CC100104120|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419116  - 29.08|121.08|29.08|Freight|freight
14876925|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419124|10/2/2024|142.9|10/2/2024|PO-184261|PO-184261 - Line 1|ITM-402324 - DRESSING WOUND TWO LAYER 4INX5IN HYDROFIBER EXTRA AQUACEL|Box|5.0|[ Catalog: SQU420674 ] DRESSING,AQUACEL,XTRA HYDROFIBER,4 X 5|28.58|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|25081 - 4124 Wound Center|CC250814124|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419124 - ITM-402324 - DRESSING WOUND TWO LAYER 4INX5IN HYDROFIBER EXTRA AQUACEL - 142.9|443.48|142.9|DRESSING, AQUACEL HYDROFIBER 3/4X18IN|[ Catalog: SQU420674 ] DRESSING,AQUACEL,XTRA HYDROFIBER,4 X 5
14876926|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419124|10/2/2024|16.0|10/2/2024|PO-184261|PO-184261 - Line 5|ITM-449184 - UNDERPAD STANDARD ABSORBENCY POLYPROPYLENE BACKING LATEX FREE DISPOSABLE 17INX24IN|Case|1.0|[ Catalog: MSC281224C ] UNDERPAD,LIGHT,17X24,300/CS|16.0|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|25081 - 4124 Wound Center|CC250814124|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419124 - ITM-449184 - UNDERPAD STANDARD ABSORBENCY POLYPROPYLENE BACKING LATEX FREE DISPOSABLE 17INX24IN - 16|443.48|16.0|UNDERPAD,LIGHT,17X24,300/CS|[ Catalog: MSC281224C ] UNDERPAD,LIGHT,17X24,300/CS
14876927|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-419124|10/2/2024|77.08|10/2/2024|PO-184261|PO-184261 - Line 3|ITM-449722 - DRESSING HYDROFIBER ADVANTAGE 4INX5IN AQUACEL|Box|1.0|"[ Catalog: SQU422299BX ] DRESSING,AQUACEL,AG,ADVANTAGE,4""X5"""|77.08|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|25081 - 4124 Wound Center|CC250814124|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419124 - ITM-449722 - DRESSING HYDROFIBER ADVANTAGE 4INX5IN AQUACEL - 77.08|443.48|77.08|"DRESSING,AQUACEL,AG,ADVANTAGE,4""X5"""|"[ Catalog: SQU422299BX ] DRESSING,AQUACEL,AG,ADVANTAGE,4""X5"""
14876939|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice: SINV-419135|10/2/2024|48.0|10/2/2024|PO-183411||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24030 - 6140 Materials Management|CC240306140|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419135  - 48|48.0|48.0|Freight|freight
14876941|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419137|10/2/2024|17.98|10/2/2024|PO-184206||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 4084 Wound Ostomy Continence Nurse|CC100204084|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419137  - 17.98|38.24|17.98|Freight|freight
14876981|C210 Marlborough Hospital|Supplier Invoice: SINV-419154|10/2/2024|47.9|10/2/2024|PO-182702||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 1710 Respiratory Therapy|CC210001710|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419154  - 47.9|226.5|47.9|Freight|freight
14876985|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419156|10/2/2024|23.53|10/2/2024|PO-175501||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 1242 Newborn Nursery ICU|CC100101242|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419156  - 23.53|67.64|23.53|Freight|freight
14876989|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419167|10/2/2024|34.75|10/2/2024|PO-184126||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419167  - 34.75|34.75|34.75|Freight|freight
14877036|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419206|10/2/2024|194.7|10/2/2024|PO-183817|PO-183817 - Line 2|ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP|Case|1.0|ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP|194.7|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10020 - 2110 Operating Room|CC100202110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419206 - ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP - 194.7|420.55|194.7|TRAY,SURESTEP,URINE,METER,SILICONE|ITM-435457 - TRAY CATHTER FOLEY URINE METER SILICONE 16FR SURESTEP
14877041|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice: SINV-419210|10/2/2024|33.2|10/2/2024|PO-184021||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24060 - 4088 Cancer Center|CC240604088|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419210  - 33.2|472.4|33.2|Freight|freight
14877075|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419234|10/2/2024|292.27|10/2/2024|||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|1/8/2025|Yes|1329554.0|0|0|Approved|Supplier Invoice: SINV-419234  - 292.27|292.27|292.27|Freight|freight
14877077|C210 Marlborough Hospital|Supplier Invoice: SINV-419235|10/2/2024|21.35|10/2/2024|PO-183935||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 3110 Lab Administration|CC210003110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419235  - 21.35|41.23|21.35|Freight|freight
14877097|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419246|10/2/2024|15.99|10/2/2024|PO-179745||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 5770 Ophthalmology Clinic|CC100105770|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419246  - 15.99|146.61|15.99|Freight|freight
14877153|C210 Marlborough Hospital|Supplier Invoice: SINV-419286|10/2/2024|14.4|10/2/2024|PO-177339||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2110 Operating Room|CC210002110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419286  - 14.4|82.47|14.4|Freight|freight
14877155|C210 Marlborough Hospital|Supplier Invoice: SINV-419287|10/2/2024|222.4|10/2/2024|PO-183778||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 5300 Housekeeping|CC210005300|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419287  - 222.4|500.83|222.4|Freight|freight
14877164|C210 Marlborough Hospital|Supplier Invoice: SINV-419295|10/2/2024|14.4|10/2/2024|PO-176976||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2116 Endoscopy Suite|CC210002116|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419295  - 14.4|88.14|14.4|Freight|freight
14877180|C210 Marlborough Hospital|Supplier Invoice: SINV-419304|10/2/2024|42.68|10/2/2024|PO-182259||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 0226 Nursing 2|CC210000226|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419304  - 42.68|111.6|42.68|Freight|freight
14877184|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-419308|10/2/2024|16.59|10/2/2024|PO-178365||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 3804 Outpatient Infusion Cen Pharm|CC100203804|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419308  - 16.59|108.31|16.59|Freight|freight
14877188|C210 Marlborough Hospital|Supplier Invoice: SINV-419311|10/2/2024|35.99|10/2/2024|PO-181327||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2110 Operating Room|CC210002110|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice: SINV-419311  - 35.99|175.65|35.99|Freight|freight
14879307|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice: SINV-420415|10/3/2024|21.4|10/3/2024|PO-184207||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24050 - 2110 Operating Room|CC240502110|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420415  - 21.4|342.22|21.4|Freight|freight
14879316|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420422|10/3/2024|8437.5|10/3/2024|PO-184164|PO-184164 - Line 2|ITM-435437 - INDICATOR BIOLOGICAL RAPID READOUT ATTEST|Case|6.0|ITM-435437 - INDICATOR BIOLOGICAL RAPID READOUT ATTEST|1406.25|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 2550 Central Sterile Supplies|CC100102550|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420422 - ITM-435437 - INDICATOR BIOLOGICAL RAPID READOUT ATTEST - 8437.5|8825.24|8437.5|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|ITM-435437 - INDICATOR BIOLOGICAL RAPID READOUT ATTEST
14879325|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420429|10/3/2024|102.21|10/3/2024|PO-184116||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420429  - 102.21|102.21|102.21|Freight|freight
14879366|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420453|10/3/2024|47.03|10/3/2024|PO-183774||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420453  - 47.03|47.03|47.03|Freight|freight
14879381|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice: SINV-420461|10/3/2024|16.67|10/3/2024|PO-170791||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 3121 Shrewsbury Family Medicine|CC340003121|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420461  - 16.67|40.91|16.67|Freight|freight
14879392|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-420468|10/3/2024|21.38|10/3/2024|PO-184448||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 1710 Respiratory Therapy|CC250801710|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420468  - 21.38|162.14|21.38|Freight|freight
14879407|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420480|10/3/2024|20.17|10/3/2024|PO-184758||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 1242 Newborn Nursery ICU|CC100101242|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420480  - 20.17|278.74|20.17|Freight|freight
14879427|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420497|10/3/2024|87.23|10/3/2024|PO-184888||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420497  - 87.23|87.23|87.23|Freight|freight
14879477|C210 Marlborough Hospital|Supplier Invoice: SINV-420516|10/3/2024|25.42|10/3/2024|PO-184214||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|21000 - 2110 Operating Room|CC210002110|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420516  - 25.42|646.12|25.42|Freight|freight
14879478|C210 Marlborough Hospital|Supplier Invoice: SINV-420516|10/3/2024|620.7|10/3/2024|PO-184214|PO-184214 - Line 1||Case|10.0|"[ Catalog: NEUROSPNG14 ] SPONGE,NEURO,1""X3"",XR,STRL,LF,10/PK"|62.07|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|21000 - 2110 Operating Room|CC210002110|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420516  - 620.7|646.12|620.7|"SPONGE,NEURO,1""X3"",XR,STRL,LF,10/PK"|"[ Catalog: NEUROSPNG14 ] SPONGE,NEURO,1""X3"",XR,STRL,LF,10/PK"
14879498|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-420535|10/3/2024|16.65|10/3/2024|PO-184863||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 1908 Psychiatry Administration|CC250801908|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420535  - 16.65|62.77|16.65|Freight|freight
14879526|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420559|10/3/2024|87.22|10/3/2024|PO-184169|PO-184169 - Line 2|ITM-400468 - INDICATOR BIOLOGICAL STEAM STERILIZATION 1 HOUR BLUE ATTEST|Box|1.0|ITM-400468 - INDICATOR BIOLOGICAL STEAM STERILIZATION 1 HOUR BLUE ATTEST|87.22|Medline Industries Inc|2767|8300:Medical and Surgical supplies|Medical Surgical Supplies|10010 - 2552 Central Sterile Hahnemann|CC100102552|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420559 - ITM-400468 - INDICATOR BIOLOGICAL STEAM STERILIZATION 1 HOUR BLUE ATTEST - 87.22|157.97|87.22|Sterilization Indicators: 3M Attest Super Rapid Steam Biological Indicator, Brow|ITM-400468 - INDICATOR BIOLOGICAL STEAM STERILIZATION 1 HOUR BLUE ATTEST
14879546|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice: SINV-420574|10/3/2024|25.32|10/3/2024|PO-183398||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24070 - 0224 Med Surg Unit|CC240700224|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420574  - 25.32|94.24|25.32|Freight|freight
14879548|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-420576|10/3/2024|12.17|10/3/2024|PO-178686||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25082 - 2340 Emergency Room|CC250822340|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420576  - 12.17|114.17|12.17|Freight|freight
14879654|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420632|10/3/2024|23.92|10/3/2024|PO-184153||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 1720 MSSD Phelbotomy|CC100201720|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420632  - 23.92|295.12|23.92|Freight|freight
14879668|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice: SINV-420644|10/3/2024|24.97|10/3/2024|PO-184969||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 3682 Cancer Center|CC250803682|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420644  - 24.97|569.97|24.97|Freight|freight
14879677|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420653|10/3/2024|23.51|10/3/2024|PO-178072||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420653  - 23.51|23.51|23.51|Freight|freight
14879693|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice: SINV-420667|10/3/2024|19.71|10/3/2024|PO-184663||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10030 - 6144 General Stores|CC100306144|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice: SINV-420667  - 19.71|19.71|19.71|Freight|freight
